parent,made_sla,caused_by,watch_list,upon_reject,sys_updated_on,child_incidents,hold_reason,origin_table,task_effective_number,approval_history,number,resolved_by,sys_updated_by,opened_by,user_input,sys_created_on,sys_domain,state,route_reason,sys_created_by,knowledge,order,calendar_stc,closed_at,cmdb_ci,delivery_plan,contract,impact,active,work_notes_list,business_service,business_impact,priority,sys_domain_path,rfc,time_worked,expected_start,opened_at,business_duration,group_list,work_end,caller_id,reopened_time,resolved_at,approval_set,subcategory,work_notes,universal_request,short_description,close_code,correlation_display,delivery_task,work_start,assignment_group,additional_assignee_list,business_stc,cause,description,origin_id,calendar_duration,close_notes,notify,service_offering,sys_class_name,closed_by,follow_up,parent_incident,sys_id,contact_type,reopened_by,incident_state,urgency,problem_id,company,reassignment_count,activity_due,assigned_to,severity,comments,approval,sla_due,comments_and_work_notes,due_date,sys_mod_count,reopen_count,sys_tags,escalation,upon_approval,correlation_id,location,category
,true,,,cancel,2016-12-14 02:46:44,0,,,INC0000060,,INC0000060,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",employee,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681ccaf9c0a8016400b98a06818d57c7', 'value': '681ccaf9c0a8016400b98a06818d57c7'}",,2016-12-12 15:19:57,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,employee,false,,102197,2016-12-14 02:46:44,"{'link': 'https://dev216768.service-now.com/api/now/table/cmdb_ci/109562a3c611227500a7b7ff98cc0dc7', 'value': '109562a3c611227500a7b7ff98cc0dc7'}",,,2,false,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmdb_ci_service/27d32778c0a8000b00db970eeaa60f16', 'value': '27d32778c0a8000b00db970eeaa60f16'}",,3,/,,,,2016-12-12 15:19:57,1970-01-01 08:00:00,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681ccaf9c0a8016400b98a06818d57c7', 'value': '681ccaf9c0a8016400b98a06818d57c7'}",,2016-12-13 21:43:14,,email,,,Unable to connect to email,Solved (Permanently),,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/287ebd7da9fe198100f92cc8d1d2154e', 'value': '287ebd7da9fe198100f92cc8d1d2154e'}",,28800,,I am unable to connect to the email server. It appears to be down.,,1970-01-02 04:23:17,This incident is resolved.,1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681ccaf9c0a8016400b98a06818d57c7', 'value': '681ccaf9c0a8016400b98a06818d57c7'}",,,1c741bd70b2322007518478d83673af3,self-service,,7,2,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",2,2016-12-13 01:26:36,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",3,,not requested,,,,15,0,,0,proceed,,,inquiry
,true,,,cancel,2023-10-10 23:19:00,1,,,INC0009002,,INC0009002,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",system,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",,2018-09-16 12:50:05,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,admin,false,,114,2018-12-10 03:29:08,,,,2,false,,,,3,/,,,,2018-09-16 12:49:23,1970-01-01 00:00:00,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/77ad8176731313005754660c4cf6a7de', 'value': '77ad8176731313005754660c4cf6a7de'}",,2018-09-16 12:51:17,,,,,My computer is not detecting the headphone device,Solved (Permanently),,,,,,0,,My computer is not detecting the headphone device. It could be an issue with the USB port.,,1970-01-01 00:01:54,This is not an issue with the USB port. Replaced the headset to resolve the issue.,1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",,,1c832706732023002728660c4cf6a7b9,,,7,2,,,0,,,3,,not requested,,,,9,0,,0,proceed,,,Hardware
,false,,,,2023-10-09 20:16:04,,,,INC0000009,,INC0000009,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-07-22 22:51:33,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,don.goodliffe,false,,7333549,2023-07-17 22:55:16,,,,1,false,,,,1,/,,,,2023-07-16 22:50:23,1970-01-21 06:05:49,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2006', 'value': '5137153cc611227c000bbd1bd8cd2006'}",,2023-10-09 19:56:12,,,,,Reset my password,Closed/Resolved by Caller,,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/d625dccec0a8016700a222a0f7900d06', 'value': 'd625dccec0a8016700a222a0f7900d06'}",,1749949,,I can't remember my password and need to log in. Can someone reset my password asap? I am blocked on several urgent items until I can log in again.,,1970-03-26 21:05:49,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,,46b66a40a9fe198101f243dfbc79033d,phone,,7,1,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",1,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",3,,not requested,,,,8,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/108752c8c611227501d4ab0e392ba97f', 'value': '108752c8c611227501d4ab0e392ba97f'}",inquiry
,false,,,,2023-10-09 20:16:35,,,,INC0000010,,INC0000010,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-07-22 22:54:41,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,don.goodliffe,false,,7851790,2023-07-15 22:54:55,,,,2,false,,,,4,/,,,,2023-07-10 22:53:02,1970-01-22 14:03:10,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2005', 'value': '5137153cc611227c000bbd1bd8cd2005'}",,2023-10-09 19:56:12,,,,,Need Oracle 10GR2 installed,Closed/Resolved by Caller,,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/287ee6fea9fe198100ada7950d0b1b73', 'value': '287ee6fea9fe198100ada7950d0b1b73'}",,1864990,,Currently running 10GR1 and need to upgrade to 10GR2.,,1970-04-01 21:03:10,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,,46b9490da9fe1981003c938dab89bda3,phone,,7,3,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",2,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",3,,not requested,,,,8,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/108752c8c611227501d4ab0e392ba97f', 'value': '108752c8c611227501d4ab0e392ba97f'}",database
,false,,,,2023-10-09 19:56:31,,,,INC0000011,,INC0000011,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-07-22 23:02:15,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,don.goodliffe,false,,7246500,2023-07-21 23:02:54,,,,2,false,,,,3,/,,,,2023-07-17 23:01:12,1970-01-20 21:55:00,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-10-09 19:56:12,,,,,Need new Blackberry set up,Closed/Resolved by Caller,,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/8a5055c9c61122780043563ef53438e3', 'value': '8a5055c9c61122780043563ef53438e3'}",,1720500,,I'm replacing my old phone with a Blackberry and require assistance to get it set up. I'd like to get the files and contacts transferred to the new phone and need help getting the two factor authentication app set up on it.,,1970-03-25 20:55:00,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,,46c03489a9fe19810148cd5b8cbf501e,phone,,7,2,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",2,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681b365ec0a80164000fb0b05854a0cd', 'value': '681b365ec0a80164000fb0b05854a0cd'}",3,,not requested,,,,7,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/105cf7f3c611227501e75e08b14a38ba', 'value': '105cf7f3c611227501e75e08b14a38ba'}",inquiry
,false,,,,2023-10-09 19:56:12,,,,INC0000012,,INC0000012,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/f298d2d2c611227b0106c6be7f154bc8', 'value': 'f298d2d2c611227b0106c6be7f154bc8'}",,2023-07-22 23:11:21,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,glide.maint,false,,9233352,2023-07-17 23:12:02,"{'link': 'https://dev216768.service-now.com/api/now/table/cmdb_ci/0c43cc3ec61122750182c1324e2722d9', 'value': '0c43cc3ec61122750182c1324e2722d9'}",,,3,false,,,,5,/,,,,2023-06-24 23:07:00,1970-01-26 13:49:12,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-10-09 19:56:12,,,,,Customer didn't receive eFax,Closed/Resolved by Caller,,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/287ee6fea9fe198100ada7950d0b1b73', 'value': '287ee6fea9fe198100ada7950d0b1b73'}",,2209752,,I tried sending a fax to a customer through the eFax online portal and also via email. My customer did not receive the fax in both instances. I don't know if this is an issue on our side with transmission or on my customer's side.,,1970-04-17 20:49:12,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,,46c88ac1a9fe1981014de1c831fbcf6d,phone,,7,3,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",1,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",3,,not requested,,,,6,,,2,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/105cf7f3c611227501e75e08b14a38ba', 'value': '105cf7f3c611227501e75e08b14a38ba'}",software
,false,,,,2023-10-09 19:54:48,,,,INC0000013,,INC0000013,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,2023-07-22 23:18:07,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,don.goodliffe,false,,6899930,2023-07-22 23:18:40,,,,1,false,,,,1,/,,,,2023-07-21 23:15:58,1970-01-20 05:38:50,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681ccaf9c0a8016400b98a06818d57c7', 'value': '681ccaf9c0a8016400b98a06818d57c7'}",,2023-10-09 19:54:48,,,,,EMAIL is slow when an attachment is involved,Solved (Work Around),,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/8a4dde73c6112278017a6a4baf547aa7', 'value': '8a4dde73c6112278017a6a4baf547aa7'}",,1661930,,"Noticing today that any time I send an email with an attachment, it takes at least 20 seconds to send. This happens regardless of the attachment size.",,1970-03-21 20:38:50,Gave workaround,1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/9ee1b13dc6112271007f9d0efdb69cd0', 'value': '9ee1b13dc6112271007f9d0efdb69cd0'}",,,46cebb88a9fe198101aee93734f9768b,phone,,7,1,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",2,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",3,,not requested,,,,5,,,0,,,,inquiry
,false,,,,2023-10-10 23:19:01,,,,INC0000014,,INC0000014,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",system,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",,2023-07-11 23:38:40,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,admin,false,,9502588,2023-10-10 23:19:01,,,,1,false,,,,1,/,,,,2023-06-14 23:37:35,1970-01-27 15:14:03,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/f298d2d2c611227b0106c6be7f154bc8', 'value': 'f298d2d2c611227b0106c6be7f154bc8'}",,2023-10-02 23:14:03,,,,,Missing my home directory,Solved (Work Around),,,,,,2301243,,Logged in and didn't see my home directory. Logged out and back in again and it's still not appearing. I'm completely blocked until this is resolved.,,1970-04-20 23:36:28,Done,1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",,,46e18c0fa9fe19810066a0083f76bd56,phone,,7,1,,"{'link': 'https://dev216768.service-now.com/api/now/table/core_company/31bea3d53790200044e0bfc8bcbe5dec', 'value': '31bea3d53790200044e0bfc8bcbe5dec'}",1,2023-10-02 23:58:36,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/46c6f9efa9fe198101ddf5eed9adf6e7', 'value': '46c6f9efa9fe198101ddf5eed9adf6e7'}",3,,not requested,,,,33,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/108752c8c611227501d4ab0e392ba97f', 'value': '108752c8c611227501d4ab0e392ba97f'}",inquiry
,false,,,,2023-10-09 19:56:12,,,,INC0000021,,INC0000021,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",,2023-07-22 23:52:18,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,david.loo,false,,7329851,2023-07-21 23:52:17,,,,3,false,,,,5,/,,,,2023-07-16 23:52:01,1970-01-21 05:04:11,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2005', 'value': '5137153cc611227c000bbd1bd8cd2005'}",,2023-10-09 19:56:12,,,,,New employee hire,Closed/Resolved by Caller,,,,,,1746251,,"We have a new hire starting on Monday. She will need to be set up with a desk, laptop, phone, email account, and systems access.",,1970-03-26 20:04:11,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",,,46ee0924a9fe198100f1cf78c198454a,phone,,7,3,,,1,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/46d44a23a9fe19810012d100cca80666', 'value': '46d44a23a9fe19810012d100cca80666'}",3,,not requested,,,,8,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/1083361cc611227501b682158cabf646', 'value': '1083361cc611227501b682158cabf646'}",inquiry
,false,,,,2023-10-09 20:15:44,,,,INC0000024,,INC0000024,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/6816f79cc0a8016401c5a33be04be441', 'value': '6816f79cc0a8016401c5a33be04be441'}",admin,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",,2023-07-22 23:53:13,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/global', 'value': 'global'}",7,,david.loo,false,,6811400,2023-07-22 23:53:08,,,,3,false,,,,5,/,,,,2023-07-22 23:52:52,1970-01-19 21:03:20,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2005', 'value': '5137153cc611227c000bbd1bd8cd2005'}",,2023-10-09 19:56:12,,,,,Issue with a web page on wiki,Closed/Resolved by Caller,,,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user_group/d625dccec0a8016700a222a0f7900d06', 'value': 'd625dccec0a8016700a222a0f7900d06'}",,1631000,,The landing page for our internal wiki isn't loading. I've refreshed it multiple times and it keeps timing out.,,1970-03-20 20:03:20,"Closed before close notes were made mandatory
		",1,,incident,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/5137153cc611227c000bbd1bd8cd2007', 'value': '5137153cc611227c000bbd1bd8cd2007'}",,,46ee8c2fa9fe198100623592c70d643e,phone,,7,3,,,2,,"{'link': 'https://dev216768.service-now.com/api/now/table/sys_user/681b365ec0a80164000fb0b05854a0cd', 'value': '681b365ec0a80164000fb0b05854a0cd'}",3,,not requested,,,,6,,,0,,,"{'link': 'https://dev216768.service-now.com/api/now/table/cmn_location/108752c8c611227501d4ab0e392ba97f', 'value': '108752c8c611227501d4ab0e392ba97f'}",inquiry
